"","dyadID","actor","subject","undir.dyad","new.dyad","opp.sex"
"435","PPO-PBB","PPO","PBB","PBB-PPO",TRUE,TRUE
"436","PPO-PBO","PPO","PBO","PBO-PPO",TRUE,TRUE
"437","PPO-PGG","PPO","PGG","PGG-PPO",FALSE,FALSE
"438","PPO-POO","PPO","POO","POO-PPO",TRUE,FALSE
"439","PPO-POP","PPO","POP","POP-PPO",FALSE,TRUE
"440","PPO-PPB","PPO","PPB","PPB-PPO",TRUE,TRUE
"441","PPO-PPP","PPO","PPP","PPO-PPP",TRUE,FALSE
"442","PPP-BBB","PPP","BBB","BBB-PPP",TRUE,FALSE
"443","PPP-BBP","PPP","BBP","BBP-PPP",TRUE,FALSE
"444","PPP-BOB","PPP","BOB","BOB-PPP",TRUE,FALSE
"445","PPP-GGG","PPP","GGG","GGG-PPP",TRUE,TRUE
"446","PPP-GGO","PPP","GGO","GGO-PPP",TRUE,TRUE
"447","PPP-GOO","PPP","GOO","GOO-PPP",FALSE,FALSE
"448","PPP-GOP","PPP","GOP","GOP-PPP",FALSE,FALSE
"449","PPP-GPG","PPP","GPG","GPG-PPP",TRUE,FALSE
"450","PPP-OBB","PPP","OBB","OBB-PPP",FALSE,FALSE
"451","PPP-OBG","PPP","OBG","OBG-PPP",FALSE,TRUE
"452","PPP-OGO","PPP","OGO","OGO-PPP",FALSE,FALSE
"453","PPP-OOO","PPP","OOO","OOO-PPP",TRUE,FALSE
"454","PPP-OOP","PPP","OOP","OOP-PPP",TRUE,TRUE
"455","PPP-OPP","PPP","OPP","OPP-PPP",TRUE,FALSE
"456","PPP-PBB","PPP","PBB","PBB-PPP",TRUE,TRUE
"457","PPP-PBO","PPP","PBO","PBO-PPP",FALSE,TRUE
"458","PPP-PGG","PPP","PGG","PGG-PPP",TRUE,FALSE
"459","PPP-POO","PPP","POO","POO-PPP",TRUE,FALSE
"460","PPP-POP","PPP","POP","POP-PPP",TRUE,TRUE
"461","PPP-PPB","PPP","PPB","PPB-PPP",TRUE,TRUE
"462","PPP-PPO","PPP","PPO","PPO-PPP",TRUE,FALSE
